"label","Project_Name","Project_Budget","Client_ID","Domain_Skill","Location_Index","City_Name","Country","ISO","Admin_Name","lat","lng","Client_Name","Project_Budget2"
"WHAT COUNTS AS A SALE - $201,862","WHAT COUNTS AS A SALE",201862.3,304,"AI",1,"Sydney","Australia","AUS","New South Wales",-33.865,151.2094,"Invesco","$201,862"
"TAMLO BAU MAINTENANCE - LIST MANAGEMENT - $2,549,380","TAMLO BAU MAINTENANCE - LIST MANAGEMENT",2549380,489,"AI",2,"Melbourne","Australia","AUS","Victoria",-37.8136,144.9631,"Rand Merchant Bank","$2,549,380"
"AUTHENTICATION PROGRAM PHASE 1 - 2FA - $1,177,901","AUTHENTICATION PROGRAM PHASE 1 - 2FA",1177901.1,593,"AI",2,"Melbourne","Australia","AUS","Victoria",-37.8136,144.9631,"TPT Retirement Solutions","$1,177,901"
"DMARC IMPLEMENTATION - $668,380","DMARC IMPLEMENTATION",668380,238,"AI",4,"Perth","Australia","AUS","Western Australia",-31.9522,115.8589,"Fiske plc","$668,380"
"PRIME SERVICES OP N INFRA MODERNIZATION - $1,080,000","PRIME SERVICES OP N INFRA MODERNIZATION",1080000,319,"AI",5,"Adelaide","Australia","AUS","South Australia",-34.9289,138.6011,"Janus Henderson Investors","$1,080,000"
"CDIC RESOLUTION PLANNING - $1,295,659","CDIC RESOLUTION PLANNING",1295659.4,523,"AI",5,"Adelaide","Australia","AUS","South Australia",-34.9289,138.6011,"Sanne","$1,295,659"
"BDC CO-LENDING PROGRAM RELEASE 2 - $420,000","BDC CO-LENDING PROGRAM RELEASE 2",420000,114,"AI",6,"Toronto","Canada","CAN","Ontario",43.7417,-79.3733,"Canada Life","$420,000"
"TRINIDAD AND TOBAGO PBX UPGRADE - $2,268,000","TRINIDAD AND TOBAGO PBX UPGRADE",2268000,226,"AI",6,"Toronto","Canada","CAN","Ontario",43.7417,-79.3733,"FIA","$2,268,000"
"RR CCUL NETWORK MANDATE AND COMPLIANCE - $399,100","RR CCUL NETWORK MANDATE AND COMPLIANCE",399100,152,"AI",7,"Montreal","Canada","CAN","Quebec",45.5089,-73.5617,"ComDer","$399,100"
"TAMLO BAU MAINTENANCE - CASE MANAGEMENT - $2,445,768","TAMLO BAU MAINTENANCE - CASE MANAGEMENT",2445767.7,424,"AI",7,"Montreal","Canada","CAN","Quebec",45.5089,-73.5617,"NN Investment Partners","$2,445,768"
"LMT INTEREST ONLY PAYMENTS - $530,000","LMT INTEREST ONLY PAYMENTS",530000,115,"AI",8,"Vancouver","Canada","CAN","British Columbia",49.25,-123.1,"Canadian Derivatives Clearing Corporation","$530,000"
"PURPOSE ACTIVATION INTERNAL LAUNCH - $211,992","PURPOSE ACTIVATION INTERNAL LAUNCH",211992.2,116,"AI",8,"Vancouver","Canada","CAN","British Columbia",49.25,-123.1,"Canadian Red Cross","$211,992"
"TRADING RISK DATA REPOSITORY - $1,117,400","TRADING RISK DATA REPOSITORY",1117400,479,"AI",8,"Vancouver","Canada","CAN","British Columbia",49.25,-123.1,"PWC Japan","$1,117,400"
"PAYMENTS MODERNIZATION LOW VALUE - $10,927,639","PAYMENTS MODERNIZATION LOW VALUE",10927638.9,562,"AI",8,"Vancouver","Canada","CAN","British Columbia",49.25,-123.1,"States of Jersey","$10,927,639"
"MM WEALTH ETL INFRASTRUCTURE - $1,312,247","MM WEALTH ETL INFRASTRUCTURE",1312247.4,177,"AI",9,"Calgary","Canada","CAN","Alberta",51.05,-114.0667,"Deloitte","$1,312,247"
"IB AML TECHNOLOGY - $1,094,741","IB AML TECHNOLOGY",1094740.83,203,"AI",10,"Edmonton","Canada","CAN","Alberta",53.5344,-113.4903,"Equiniti","$1,094,741"
"UNIVERSAL ACCESS - $361,330","UNIVERSAL ACCESS",361330.4,593,"AI",10,"Edmonton","Canada","CAN","Alberta",53.5344,-113.4903,"TPT Retirement Solutions","$361,330"
"MAPPING TOMORROW REMEDIATION - $719,506","MAPPING TOMORROW REMEDIATION",719505.8,79,"AI",11,"Ottawa","Canada","CAN","Ontario",45.4247,-75.695,"Behind Every Cloud","$719,506"
"IB AML EDDU - $457,836","IB AML EDDU",457835.6,125,"AI",11,"Ottawa","Canada","CAN","Ontario",45.4247,-75.695,"CFFEX","$457,836"
"RISK OVERSIGHT ASSESSMENT RFP N SUSTAINMENT - $233,022","RISK OVERSIGHT ASSESSMENT RFP N SUSTAINMENT",233022,255,"AI",12,"Shanghai","China","CHN","Shanghai",31.1667,121.4667,"Genpact","$233,022"
"TAMLO BAU MAINTENANCE - PS MAINT - $156,770","TAMLO BAU MAINTENANCE - PS MAINT",156770,310,"AI",12,"Shanghai","China","CHN","Shanghai",31.1667,121.4667,"Ipsos MORI","$156,770"
"XVA PHASE 3 - $2,280,885","XVA PHASE 3",2280885.4,567,"AI",12,"Shanghai","China","CHN","Shanghai",31.1667,121.4667,"T Rowe Price","$2,280,885"
"DYNAMIC LIQUIDITY SCENARIO BUILDER - $2,304,344","DYNAMIC LIQUIDITY SCENARIO BUILDER",2304344,597,"AI",12,"Shanghai","China","CHN","Shanghai",31.1667,121.4667,"True Potential","$2,304,344"
"PROJECT CORAL DIVESTITURE - $749,368","PROJECT CORAL DIVESTITURE",749367.5,295,"AI",13,"Guangzhou","China","CHN","Guangdong",23.1288,113.259,"Indeval Tokyo Stock Exchange","$749,368"
"PAYMENTS MODERNIZATION - PAYMOD LOW VALUE W3 - $530,000","PAYMENTS MODERNIZATION - PAYMOD LOW VALUE W3",530000,455,"AI",13,"Guangzhou","China","CHN","Guangdong",23.1288,113.259,"OTCDerivnet","$530,000"
"COLLECTIONS SYSTEMS UPGRADE/MIGRATION - $246,288","COLLECTIONS SYSTEMS UPGRADE/MIGRATION",246288,508,"AI",13,"Guangzhou","China","CHN","Guangdong",23.1288,113.259,"Rowan Dartington","$246,288"
"ECOMMS SURVEILLANCE - BEHAVOX MEXICO - $1,081,681","ECOMMS SURVEILLANCE - BEHAVOX MEXICO",1081680.8,320,"AI",14,"Beijing","China","CHN","Beijing",39.905,116.3914,"JAPAN BANK FOR INT'L COOPERATION","$1,081,681"
"SCT2- PROJECT SATURN - $4,438,438","SCT2- PROJECT SATURN",4438437.5,337,"AI",14,"Beijing","China","CHN","Beijing",39.905,116.3914,"JT Global","$4,438,438"
"MM PROJECT WORK ORDERS - PWO 2021 - $421,433","MM PROJECT WORK ORDERS - PWO 2021",421433.43,500,"AI",15,"Bogota","Colombia","COL","Bogota",4.6126,-74.0705,"Revolut","$421,433"
"AML GBM CANADA 2021 REMEDIATION - $666,125","AML GBM CANADA 2021 REMEDIATION",666125,447,"AI",16,"Cairo","Egypt","EGY","Al Qahirah",30.0561,31.2394,"Ocorian","$666,125"
"REMOTE KEY LOAD AND CENTRALIZED JOURNAL - $168,572","REMOTE KEY LOAD AND CENTRALIZED JOURNAL",168571.9,637,"AI",16,"Cairo","Egypt","EGY","Al Qahirah",30.0561,31.2394,"Zurich","$168,572"
"RR SSI SYSTEM CHANGES - SIS REASONABILITY/TELEPHONE REMEDIATION - $332,220","RR SSI SYSTEM CHANGES - SIS REASONABILITY/TELEPHONE REMEDIATION",332220,43,"AI",17,"Paris","France","FRA","lle-de-France",48.8566,2.3522,"Asigna/Mexico CCP","$332,220"
"IB COLLECTIONS CAPACITY EXPANSION FOR COVID -19 - $1,255,462","IB COLLECTIONS CAPACITY EXPANSION FOR COVID -19",1255462.1,282,"AI",17,"Paris","France","FRA","lle-de-France",48.8566,2.3522,"HSBC Group","$1,255,462"
