Client_ID,Client_Name
1,A J Bell Securities
2,Aberdeen
3,Aberdeen Standard Capital
4,Aberdeen Standard Investments
5,ABSA
6,Absa Capital
7,Abu Dhabi Investment Authority
8,Accuro Fiduciary
9,ACPI Investment Managers
10,ACPI Jersey
11,Active Group
12,Adepa
13,Advanced
14,Aegon
15,AEGON Asset Management
16,AEGON NL
17,Affiliate Asset Management 
18,Agile Automations
19,Allfunds Bank
20,Alliance Bernstein
21,Allianz Insurance
22,AllianzGI
23,Allum Capital
24,Alter Domus (Lux)
25,American Express
26,Anchurapartners
27,Anthos
28,Antonveneta
29,ANZ
30,Aon Hewitt Limited
31,Apex
32,Appleby
33,Arbuthnot Latham
34,Ardan International
35,Argentina Clearing
36,Argonaut Capital Partners
37,Artemis
38,Artorius
39,Ascot Lloyd
40,Ashberg Ltd
41,Ashburton
42,Ashcourt Rowan
43,Asigna/Mexico CCP
44,Asset Management One Ltd
45,Association of Financial Markets in Europe (AFME)
46,Astorg
47,ASX
48,Augentius Belfast
49,Augentius Guernsey
50,Augentius London
51,Augentius Manila
52,Australian Payments and Clearing Association
53,Australian Securities Exchange
54,Aviva
55,AXA
56,AXA Architas
57,AXA IM
58,Azqore
59,Azure
60,Baer Capital Partners
61,Baillie Gifford
62,Banca IMI
63,Bank ABC
64,Bank of America Merrill Lynch
65,Bank of Butterfield
66,Bank Of England
67,Bank of Montreal (BMO)
68,Bank of Valetta
69,Bankclarity
70,Banking Standards Board
71,Barclaycard
72,Barclays
73,Barclays Wealth
74,Barings
75,BBH
76,BBVA
77,BBVA UK
78,BCXCO
79,Behind Every Cloud
80,Bestinvest
81,BI-SAM
82,Bita Risk Solutions
83,Blackrock
84,Bloomberg London
85,BlueBay Asset Management
86,Bluecrest Capital LP
87,BMO Asset Management
88,BNP Paribas
89,BNP Paribas Securities Services Jersey
90,BNY Mellon
91,BoerBoel Trading LLP
92,Boltmarkets
93,Border to Coast
94,BP Oil International Limited
95,BP2S
96,Brewin Dolphin
97,British Airways Pensions
98,British Bankers' Association
99,British Computer Society (BCS) - The Chartered Society for IT
100,British Embassy (Tokyo)
101,Broadridge Financial Solutions Ltd
102,Broadwick Partners
103,Brompton Asset Management
104,Brooks Macdonald
105,Brown Advisory
106,Brown Shipley
107,BT Pension Scheme Management Ltd
108,CACEIS
109,Cadis
110,Calligo
111,Calypso
112,Cameron Hume
113,Canaccord Genuity Wealth Management
114,Canada Life
115,Canadian Derivatives Clearing Corporation
116,Canadian Red Cross
117,Canary Wharf Group PLC
118,Capita
119,Capital Generation Partners
120,Cardano
121,Carey Olsen
122,Castle Trust
123,Catlin
124,CCLA
